sequence,level,property_type,identifier,module,class_term,property_term,association_role,representation_term,associated_module,associated_class,multiplicity,definition,label_local,definition_local,id
456,2,Aggregation,,cor,Entry_ Detail,,,,taf,Originating Document,0..*,"A tool to capture the flow of related documents in the business process. Some needs of end users require a greater history of the documents that are associated with a transaction, especially in the VAT audit area. Contains a repetitive class of related documents.",【発生元文書情報】,業務プロセス上の、関連文書の流れを捕捉するためのもの。特にVAT監査では、エンドユーザの要求として、取引に関係する文書の履歴が必要とされる。関連文書情報の構造の繰り返しを含む。,CO21-19
457,2,Composition,,cor,Entry_ Detail,,,,muc,Detail_ Multicurrency,0..*,Class to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This class allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This class may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,【多通貨明細】,"原取引時の通貨と異なる、自国通貨と換算レートに関する追加情報のセクション。－現在および原取引時の、換算レートおよび金額の記録に使用される。_x000D_
トライアンギュレーション通貨としての第三通貨の換算レートを記録できる。EURの場合が多いがそれに限らない。この構造は、同日または異なる日の外貨での金額を記録する必要がある限り、繰り返し指定可能。",CO21-20
458,2,Composition,,cor,Entry_ Detail,,,,cor,Detail_ Identifier Reference,0..*,"Identification for customer, vendor, or employee.",【CVE情報】,顧客、仕入先、従業員のための識別子。,CO21-21
459,2,Composition,,cor,Entry_ Detail,,,,cor,Detail_ XBRL,0..*,This will roll up to XBRL reporting information - this is a parent - repeatable so that the same item can be reported through many taxonomies. Care should be taken to consider what happens if people post to the same account but different XBRL elements.,【XBRL情報】,XBRLレポート情報へのロールアップ情報。親タグであり、同じ項目が複数のタクソノミを通じて報告されうるように繰り返し可能。同一の勘定科目を異なるXBRL要素に転記した場合にどうなるか、注意深く考慮すべきである。,CO21-22
460,2,Composition,,cor,Entry_ Detail,,,,bus,Detail_ Measurable,0..*,"Parent for information regarding measurable items associated with the enclosing entryDetail line. Primary area used for holding performance measures. Based on needs for tracking inventory transactional detail, but suitable for anything assigned to an ""account"", ""reporting bucket"" or ""code"". Can be used to track any movements.",【計測可能物情報】,明細行に関係付けられた、計測可能物の情報の親タグ。おもにパフォーマンス測定のために使用される。在庫移動の詳細の追跡の必要性に基づき、「科目」、「報告バケット」、「コード」に関係付けられるあらゆるものに適する。あらゆる活動を追跡するために使用可能。,CO21-23
461,2,Composition,,cor,Entry_ Detail,,,,bus,Detail_ Job,0..*,"Class for holding job related information, separate from jobs represented in account identifier. Would probably only have one jobinfo class for each entry line, but there may be a need to express more than one.",【ジョブ情報】,科目識別子で表現されるジョブとは別の、ジョブに関係する情報のタプル。個々の明細行に対してひとつだけ存在すると思われるが、複数必要かもしれない。,CO21-24
462,2,Composition,,cor,Entry_ Detail,,,,bus,Detail_ Depreciation Mortgage,0..*,"Parent for information related to depreciation, mortgages, etc.",【減価償却/抵当債務情報】,減価償却、抵当債務等に関連する情報の親タグ。,CO21-25
463,2,Composition,,cor,Entry_ Detail,,,,ehm,Detail_ Serial or Lot,0..*,"Class for holding information about serial numbers or lots (batches). As a class, this permits multiple serial numbers or multiple lot number batches within a single gl-cor:measurable class.",【シリアル番号・ロット情報】,シリアル番号やロット（バッチ）に関する情報を保持するタプル。単一の構造内に複数のシリアル番号やロット情報を保持可能。,CO21-26
464,2,Composition,,cor,Entry_ Detail,,,,cor,Detail_ Tax,0..*,Class for holding tax related information,【税情報】,税関連の情報のタプル。,CO21-27
465,2,Composition,,cor,Entry_ Detail,,,,lnk,Detail_ Rich Text Comment,0..*,"Accepts text in rich text format, including XHTML. It can be used for different purposes, such as to create footnotes in XBRL instances or to create a comment for a document or an entry.",【リッチテキストコメント】,XHTMLを含む、リッチテキスト形式のテキストを受け入れる。XBRLインスタンスのフットノートの生成や、文書や伝票のコメントの生成などの、さまざまな目的で利用可能。,CO21-28
466,2,Composition,,cor,Entry_ Detail,,,,cor,Detail_ Account Identifier,0..*,"Class: parent container for account numbers and identifiers. No entry is made here, but each detail line may have multiple accounts assigned to it for reporting in different GAAPs, offsetting accounts in Japan, passing along information to consolidation systems about local versus consolidating accounts, etc. For example, the account 4783HG-QOWI-192837-1000 may be expressed so: 

/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division",【科目識別子】,"タプル。勘定科目番号と識別子の親コンテナ。 ここには記入されないが、個々の明細行は、異なるGAAPでの報告や、日本の見返勘定や、連結勘定科目に対する個別情報の連結会計システムへの伝達などのための、複数の勘定科目を持ちうる。例えば、勘定科目4783HG-QOWI-192837-1000は、次のように表現されうる。_x000D_
/account/accountMainID 1000  
/account/accountMainDescription Cash  
/account/accountSub/accountSubID 4783HG  
/account/accountSub/accountSubDescription Department  
/account/accountSub/accountSubID QOWI  
/account/accountSub/accountSubDescription Branch  
/account/accountSub/accountSubID 192837  
/account/accountSub/accountSubDescription Division",CO21-29
467,2,Attribute,,cor,Entry_ Detail,Detail_ Description,,String,,,0..1,Description of this line of detail only,説明,この明細行のみに対する説明。,CO21-30
468,2,Attribute,,cor,Entry_ Detail,Monetary Amount,,Monetary,,,0..1,"This field (amount) represents the primary monetary amount related to the  subject of the entryDetail line. There is one primary monetary amount per entryDetail class. It may, for example, represent the amount of one line of a journal entry, the balance on a document, or the extended amount of a line item on an invoice. Amount is not required if detailed entry is used for non-financial work and other elements are populated, in particular measurableQuantity. The amount field is a signed number (either positive or negative itself) and used in conjunction with a separate signOfAmount and a separate debitCreditCode, which together are considered for understanding the monetary amount. The unit of measure is determined by amountCurrency if present, and by the default or home currency if amountCurrency is not present.",金額,entryDetailの代表的な金額を示す。entryDetailごとにひとつの値を持つ。たとえば、仕訳帳の行、残高、請求書の行の金額。明細が会計業務用でなく、measurableQuantityなどの他の要素が設定されている場合は不要。符号付数値であり、金額を解釈するために用意されたsignOfAmountおよびdebitCreditCodeとあわせて使用される。通貨単位はamountCurrencyで決定される。amountCurrencyが指定されない場合は、既定または自国の通貨単位となる。,CO21-31
469,2,Attribute,,cor,Entry_ Detail,Currency,,QName,,,0..1,"The currency related to the amount can be entered here instead of the XBRL instance specified way, especially important in multi-currency situations. Recommend ISO 4217 coding.",通貨,XBRLインスタンス内に指定する方法のかわりに、金額の通貨を指定可能。多通貨環境で特に重要。ISO4217コード体系を推奨。,CO21-32
470,2,Attribute,,cor,Entry_ Detail,Sign Indication for Amount,,Token,,,0..1,Sign of amount; provides 4 possible fields only when used in conjunction with debitCreditCode; primarily used for correcting entries so total debits and credits after an entry error are not inflated. D + increase DebitsD - decrease debitsC + decreases creditC - increases credit,金額符号,"金額の符号。貸借識別子と関連して使用される場合にだけ、4つの可能なフィールドを提供する。記入エラー後の総貸借が膨張しないように、おもに仕訳の訂正に使用される。 D+は借方を増加させる。D-は借方を減少させる。C+は貸方を減少させる。C-は貸方を増加させる。_x000D_
[設定値のリスト]_x000D_
(+)、(-)、(plus：プラス)、(minus：マイナス)",CO21-33
471,2,Attribute,,cor,Entry_ Detail,Debit/Credit Indicator,,Token,,,0..1,"Optional identifier of whether the amount is a (D)ebit, a (C)redit or Undefined",貸借区分コード,"金額が借方か貸方か不定かを示す識別子。_x000D_
[設定値のリスト]_x000D_
(D)、(C)、(debit：借方)、(credit：貸方)、(undefined：不定)",CO21-34
472,2,Attribute,,cor,Entry_ Detail,Allocation Code,,String,,,0..1,A code that is tied to the Enterprise's allocation system.,配分コード,配賦システムに結びつけるコード。,CO21-35
473,2,Attribute,,cor,Entry_ Detail,Invoice Type,,Token,,,0..1,"Invoice Type  (self-billed, ePoS enumerated values)",請求書種別,"請求書の種別。(self-billed、ePoS)_x000D_
[設定値のリスト]_x000D_
(ePos：POSシステムからの発行)、(self-billed：手動発行)",CO21-36
474,2,Attribute,,cor,Entry_ Detail,Chargeable or Reimbursable,,String,,,0..1,"Is this entry chargeable to client, reimbursable? Used by some systems to indicate that account on posting/validation should be posted to a customer or vendor's account.",請求支払可能フラグ,この仕訳は顧客に請求、支払可能か。いくつかのシステムでは転記/検証対象の科目が顧客や仕入先の科目に転記されるべきかどうかを示すために使用される。,CO21-37
475,2,Attribute,,cor,Entry_ Detail,Payment Method,,String,,,0..1,Method used or to be used to make the payment,支払方法,支払いのために使用された、または使用される方法。,CO21-38
476,2,Attribute,,cor,Entry_ Detail,Ship From,,String,,,0..1,References organizationAddressLocationIdentifier where used. Otherwise freeform.,出荷元,organizationAddressLocationIdentifierの参照情報。または自由記述。,CO21-39
477,2,Attribute,,cor,Entry_ Detail,Date Shipped/Received,,Date Time,,,0..1,Date goods/services are shipped/received.,出荷/受領日付,物品/サービスを出荷/受領した日付。,CO21-40
478,2,Attribute,,cor,Entry_ Detail,Maturity Date or Date Due,,Date Time,,,0..1,Due date or other maturity date.,支払期日,支払期日やその他の期日。,CO21-41
479,2,Attribute,,cor,Entry_ Detail,Payment Terms,,String,,,0..1,Discount/payment terms.,支払条件,割引/支払い条件。,CO21-42
480,2,Attribute,,cor,Entry_ Detail,Costing Method Code,,Token,,,0..1,"An enumerated code for the inventory (or other measurable) costing method. Enumerated as: LIFO, FIFO, average, weighted-average, standard-cost, tax-basis, book-basis, other.",原価計算方法コード,在庫または他の測定可能な対象の原価計算方法を示す列挙コード。列挙例：LIFO、FIFO、平均法、加重平均法、標準原価法、税基準、帳簿基準、その他。,CO21-43
481,2,Attribute,,cor,Entry_ Detail,Costing Method Description,,String,,,0..1,Free format description associated with gl-ehm:costingMethodCode to provide specialization of clarification for the enumerated value of other.,原価計算方法の説明,「その他」の列挙値に関する補足説明または特定のための自由記述形式。,CO21-44
482,2,Attribute,,cor,Entry_ Detail,Ticking Field,,Boolean,,,0..1,"Signifies that an item has been cleared, finished, finalized. When checking accounts are called for, the tick or letter showing this was done appears in this field. Can also be used for identifying that the
original document against which a payment or DR/CR memo applies has been reconciled.",チェック欄,項目が消去または完了されたことを示す。勘定のチェックが要求される場合、処理済を示すチェックマークまたは文字が指定される。支払またはDR/CRのメモに対する元文書が、消し込まれたことを確認するためにも使用可能。,CO21-45
483,2,Attribute,,cor,Entry_ Detail,Document Remaining Balance,,Monetary,,,0..1,Balance remaining on the document,文書上残高,文書上の残高。,CO21-46
484,2,Attribute,,cor,Entry_ Detail,UCR,,String,,,0..1,"Unique Consignment Reference or UCR. An ""origin to destination"" reference code for international consignments, developed in cooperation with the World Customs Organization and EAN International (EAN). (http://www.wcoomd.org/ie/EN/press/UCR_new_e.pdf)",UCRコード,"Unique Consignment ReferenceまたはUCR。国際委託販売のための""origin to destination""参照コード。World Customs OrganizationとEAN International (EAN)が共同で開発している。_x000D_
(http://www.wcoomd.org/ie/EN/press/UCR_new_e.pdf)",CO21-47
485,1,Class,,cor,Entry_ Header,,,,,,0..*,Parent for entry headers/journal entry headers.,【仕訳情報】,エントリヘッダー/仕訳記入ヘッダーの親タグ。,CO22
486,2,Attribute,,cor,Entry_ Header,Date Posted,,Date Time,,,0..1,Date this entry was posted (validated) to the general ledger. May not represent the date of accounting significance which is represented by 'postingDate'.,転記済日付,この仕訳が総勘定元帳に転記された(検証された)日付。 postingDateで示されるような会計上意味のある日付を表さないかもしれない。,CO22-01
487,2,Attribute,,cor,Entry_ Header,Creator,,String,,,0..1,Initials/name of operator originally entering.,仕訳作成者,最初に入力したオペレータのイニシャル/名前。,CO22-02
488,2,Attribute,,cor,Entry_ Header,Last Modifier,,String,,,0..1,Identification for the last person modifying this entry before posting.,仕訳最終更新者,転記前に最後にこの仕訳を修正した者の識別子。,CO22-03
489,2,Attribute,,cor,Entry_ Header,Responsible Person,,String,,,0..1,Identifier of person who created or originated or is otherwise responsible for the entry.,責任者,仕訳を作成したか、仕訳に責任を持つ者の識別子。,CO22-04
490,2,Attribute,,cor,Entry_ Header,Type Code,,Token,,,0..1,"One of the following enumerated list: adjusting, budget, comparative, external-accountant, standard, passed-adjusting, eliminating, proposed, recurring, reclassifying, simulated, tax, other",種別識別子,"以下の値のうちのひとつ。_x000D_
整理、予算、比較、外部会計事務所、通常、無視、消去、提案、反復、組替、シミュレーション、税、その他_x000D_
[設定値のリスト]_x000D_
(adjusting：整理)、(budget：予算)、(comparative：比較)、(external-accountant：外部会計事務所)、(standard：通常)、(passed-adjusting：無視)、(eliminating：消去)、(proposed：提案)、(recurring：反復)、(reclassifying：組替)、(simulated：シミュレーション)、(tax：税)、(other：その他)",CO22-05
491,2,Attribute,,cor,Entry_ Header,Posting Code,,String,,,0..1,"Code for posting to period, e.g., period 1-13, based on codes in an accounting period file. We do not recommend that software vendors export here, but suggest providing period end numbers for the buckets. Possibilities W1 through W53, M1 through M13, Q1-Q4. Developers and others creating output files are encouraged to supply an actual end date.",転記コード,転記の期間を表すコード。例えば、会計期間ファイルのコードにもとづく期間１～１３。ソフトウエアベンダーが、この値をエクスポートすることは推奨しない。期間の最終番号を提供することを勧める。可能な値としては、W1からW53、M1からM13、Q1からQ4など。開発者や出力ファイルの作成者には、実際の終了日付を提供することを勧める。,CO22-06
492,2,Attribute,,cor,Entry_ Header,Number of Entries,,Integer,,,0..1,The total number of entries.,仕訳総数,仕訳の総数。,CO22-07
493,2,Attribute,,cor,Entry_ Header,Comment,,String,,,0..1,Comment of the entry,仕訳摘要,仕訳の摘要,CO22-08
494,2,Attribute,,cor,Entry_ Header,Header_ Entry Date,,Date Time,,,0..1,"Represents the actual date/time of entry into computer (automated from system date, often misrepresented by changing system clock). Posting dates are maintained separately.",入力日付,コンピュータへ入力した実際の日付/時刻(システム日付から自動的に与えられ、システム時計の変更により、しばしば誤った値になる)を示す。 転記日付とは別に管理される。,CO22-09
495,2,Attribute,,cor,Entry_ Header,Source Journal,,Token,,,0..1,"Source journal. The code of the journal in which the entry is processed. The code must be a unique indication for a journal and is selected from the following enumerated list:

cd      cash disbursements (sending cheques to vendors)
cr      cash receipts (receiving cheques from others)
fa      fixed assets
gi      giro/other bank adjustments
gj      general journal
im      inventory management
jc      job cost
pj      purchase journal (liabilities from purchases)
pl      payroll journal
sj      sales journal
se      standard entries
ud      user defined
ot      other sources of entries",元仕訳帳種別,"元仕訳帳。仕訳が処理される仕訳帳のコード。コードは仕訳帳に一意な指標であり、以下から選択する。_x000D_
出金(仕入先への小切手送付)、入金(他者からの小切手受領)、固定資産、振替、一般仕訳帳、在庫管理、個別原価、仕入帳(仕入による負債)、賃金台帳、売上台帳、通常仕訳、ユーザ定義、その他_x000D_
[設定値のリスト]_x000D_
(cd：出金)、(cr：入金)、(fa：固定資産)、(gi：振替)、(gj：一般仕訳帳)、(im：在庫管理)、(jc：個別原価)、(pj：仕入帳)、(pl：賃金台帳)、(sj：売上台帳)、(se：通常仕訳)、(ud：ユーザ定義)、(ot：その他)",CO22-10
496,2,Attribute,,cor,Entry_ Header,Journal Description,,String,,,0..1,"Source journal (full description of general journal, payroll journal, accountant entries). A more easily readable journal indication. The most common journals are: Purchases, Sales, Cash, and General Journal.",元仕訳帳説明,元仕訳帳(一般仕訳、給与台帳、会計事務所入力の完全な説明)。 よりわかりやすい仕訳帳の指標。 最も一般的な仕訳帳は、次の通り。 仕入、売上、現金、一般仕訳。,CO22-11
497,2,Attribute,,cor,Entry_ Header,Entry Origin,,String,,,0..1,"Origin of entry: accrual, manual entry, imported entry, exchange gain or loss",仕訳起源,仕訳の起源。発生、手入力、インポート入力、為替換算による損益。,CO22-12
498,2,Attribute,,cor,Entry_ Header,Entry ID,,String,,,0..1,Identifier within source journal,仕訳識別子,元仕訳帳中の識別子。,CO22-13
499,2,Attribute,,cor,Entry_ Header,Entry Description,,String,,,0..1,Description of entry described by this entry header (e.g. Opening Balance),仕訳説明,このエントリヘッダーによって説明された仕訳の説明(例えば、期首残高),CO22-14
500,2,Attribute,,cor,Entry_ Header,Entry Qualifier,,Token,,,0..1,"Entry Qualifier - An enumerated field that qualifies the type of entry, specifically useful for general ledger and trial balance environments when it is important to state the values represented are summarized as of the reporting date - opening or closing balances. In accounting systems, this is often known as BBF (balance brought forward.) Permitted values are: standard, balance-brought-forward and other.",仕訳修飾子,"仕訳の修飾子。総勘定元帳や試算表で、開始残高や決算残高のように、記された値が報告日で集約されていることを明示することが重要なときに有用な、仕訳の種別を修飾するもの。会計システムにおいて、BBF（繰越残高）として知られるもの。指定可能な値は以下。標準、繰越残高、その他_x000D_
[設定値のリスト]_x000D_
(standard：標準)、(balance-brought-forward：繰越残高)、(other：その他)",CO22-15
501,2,Attribute,,cor,Entry_ Header,Entry Qualifier Description,,String,,,0..1,Free format description of the entry qualifier,仕訳修飾子説明,仕訳の修飾子の説明。,CO22-16
502,2,Attribute,,cor,Entry_ Header,Batch ID for Entry Group,,String,,,0..1,ID for a batch for this group of entries,仕訳グループ識別子,この仕訳の集合に付ける、束の識別子。,CO22-17
503,2,Attribute,,cor,Entry_ Header,Batch Description,,String,,,0..1,Description of this batch,仕訳グループ説明,この仕訳の束の説明。,CO22-18
504,2,Attribute,,cor,Entry_ Header,Total Debits,,Monetary,,,0..1,The total of all debit amounts.,借方合計,借方金額の合計値。,CO22-19
505,2,Attribute,,cor,Entry_ Header,Total Credits,,Monetary,,,0..1,The total of all credit amounts.,貸方合計,貸方金額の合計値。,CO22-20
506,2,Attribute,,cor,Entry_ Header,Type of Difference Between Book and Tax,,Token,,,0..1,"Enumerated field with possible values of permanent, temporary or none indicating the type of difference between book and tax accounting methods. Omission of this field is equivalent to ""none""",帳簿価税務簿価差異種別,"帳簿と税務会計処理方法との差異の種別を示す値。永久か一時的かまたは無し。値の省略時は「無し」と同じ。_x000D_
[設定値のリスト]_x000D_
(permanent：永久)、(temporary：一時的)、(none：無し)",CO22-21
507,2,Attribute,,cor,Entry_ Header,Elimination Code,,String,,,0..1,Informs destination ledger this is an intracompany entry which eliminates in consolidation,相殺消去コード,連結決算時に消去される連結会社間仕訳であることを、受取側の元帳に通知する。,CO22-22
508,2,Attribute,,cor,Entry_ Header,Budget Scenario Period Start,,Date Time,,,0..1,Start of period covered by associated budgetScenario,予算シナリオ期間開始日付,関係付けられたbudgetScenarioがカバーする期間の開始日。,CO22-23
509,2,Attribute,,cor,Entry_ Header,Budget Scenario Period End,,Date Time,,,0..1,End of period covered by associated budgetScenario,予算シナリオ期間終了日付,関係付けられたbudgetScenarioがカバーする期間の終了日。,CO22-24
510,2,Attribute,,cor,Entry_ Header,Scenario Description,,String,,,0..1,Text related to budgetScenario,シナリオ説明,budgetScenarioに関する記述。,CO22-25
511,2,Attribute,,cor,Entry_ Header,Scenario Code,,String,,,0..1,"Code for a budget scenario identifier (such as PB for 'preliminary budget', or RB for 'revised budget', or other identifier for entryType)",シナリオコード,予算シナリオの識別コード。例えば、「PB」（予備予算）、「RB」（補正予算）、または他の仕訳種別の識別子。,CO22-26
512,2,Attribute,,cor,Entry_ Header,Budget Allocation Code,,Token,,,0..1,"Code associated with the calculation formula: e.g. (D)ivide by number of periods, (T)otal for period given",予算配分コード,"計算式に関係付けられたコード。例えば、期間数での分割、与えられた期間の合計_x000D_
[設定値のリスト]_x000D_
(D：期間数での分割)、(T：与えられた期間の合計)",CO22-27
513,2,Attribute,,cor,Entry_ Header,"ID for Reversing, Standard or Master Entry",,String,,,0..1,"For standard, reversing, master, cancelling or other entries an ID associated with those entries.",反対/通常/マスタ仕訳識別子,通常、反対、マスタ、取消または他の仕訳のための、それらの仕訳を関連付けるID。,CO22-28
514,2,Attribute,,cor,Entry_ Header,Recurring Standard Description,,String,,,0..1,Description to accompany standard or recurring ID,反復通常仕訳説明,通常仕訳または反復仕訳のIDの説明。,CO22-29
515,2,Attribute,,cor,Entry_ Header,Frequency Interval,,Decimal,,,0..1,"For standard or recurring journals, how often entry may be made: every frequencyInterval frequencyUnit, such as every 7 (interval) days (unit) or every 1 (interval) quarter (unit). This field represents the interval.",頻度間隔,通常または反復仕訳において、仕訳が記入される頻度。frequencyInterval、frequencyUnitごと、たとえば7(interval)日(unit)ごと、1(interval)四半期(unit)ごとなどにおける、intervalを示す。,CO22-30
516,2,Attribute,,cor,Entry_ Header,Frequency Unit,,String,,,0..1,"For standard or recurring journals, how often entry may be made: every frequencyInterval frequencyUnit, such as every 7 (interval) days (unit) or every 1 (interval) quarter (unit). This field represents the unit.",頻度単位,通常または反復仕訳において、仕訳が記入される頻度。frequencyInterval、frequencyUnitごと、たとえば7(interval)日(unit)ごと、1(interval)四半期(unit)ごとなどにおける、unitを示す。,CO22-31
517,2,Attribute,,cor,Entry_ Header,Repetitions Remaining,,Integer,,,0..1,Number of times that the recurring entry will repeat,反復残回数,反復仕訳の繰り返し予定数。,CO22-32
518,2,Attribute,,cor,Entry_ Header,Next Date Repeat,,Date Time,,,0..1,Date next repeated or standard posted,次回反復日付,次回の反復あるいは通常の転記日。,CO22-33
519,2,Attribute,,cor,Entry_ Header,Last Date Repeat,,Date Time,,,0..1,Date last repeated or standard posted,前回反復日付,前回の反復あるいは通常の転記日。,CO22-34
520,2,Attribute,,cor,Entry_ Header,End Date of Repeating Entry,,Date Time,,,0..1,"For standard or recurring journals, stop date/time for repetitive entry.",反復仕訳終了日付,通常仕訳または反復仕訳のための、反復入力の終了日付/時刻。,CO22-35
521,2,Attribute,,cor,Entry_ Header,Reverse,,Boolean,,,0..1,Should entry be reversed?,反対仕訳要否,仕訳が取り消されるべきか。,CO22-36
522,2,Attribute,,cor,Entry_ Header,Reversing Date,,Date Time,,,0..1,Date this entry should be reversed,反対仕訳日付,この仕訳が取り消されるべき日付。,CO22-37
523,2,Attribute,,cor,Entry_ Header,Entry Number Counter,,Decimal,,,0..1,Unique reference for the entry - a numeric counter,仕訳番号カウンタ,仕訳の一意なリファレンス　　カウンタ,CO22-38
524,2,Composition,,cor,Entry_ Header,,,,cor,Entry_ Detail,0..*,Parent for entry detail,【仕訳明細】,仕訳明細の親タグ。,CO22-39
525,1,Class,,cor,Accounting Entries,,,,,,1..*,Root for XBRL GL. No entry made here.,【会計仕訳】,XBRL GLのルート要素。 この要素にはデータは登録されない。,CO23
526,2,Composition,,cor,Accounting Entries,,,,cor,Document Information,1..1,Parent for descriptive information about the accountingEntries Class in which it is contained.,【文書情報】,この会計仕訳に関する情報の親タグ。,CO23-01
527,2,Composition,,cor,Accounting Entries,,,,cor,Entity_ Party,0..1,Holder for entity information - information about the reporting organization.,【事業体情報】,事業体情報（報告組織に関する情報）の入れ物。,CO23-02
528,2,Composition,,cor,Accounting Entries,,,,cor,Entry_ Header,0..*,Parent for entry headers/journal entry headers.,【仕訳情報】,エントリヘッダー/仕訳記入ヘッダーの親タグ。,CO23-03
529,1,Class,,lnk,Summary Reporting Taxonomies,,,,,,0..*,Identifies and provides information about one or more target reporting taxonomies to which the data represented in the document rolls up to.,【集約報告タクソノミ】,この文書で示されたデータのロールアップ先となる、1つ以上の報告タクソノミの情報を、識別し提供する。,LN02
530,2,Attribute,,lnk,Summary Reporting Taxonomies,Summary Reporting Taxonomy ID,,String,,,0..1,"Identifies a target reporting taxonomy so that, for example, it can be referenced in the [summaryReportingTaxonomyIDRef] data field at [xbrlInfo] level.",集約報告タクソノミ識別子,たとえばxbrlInfo内のsummaryReportingTaxonomyIDRefで参照できるように、報告タクソノミを識別する。,LN02-01
531,2,Attribute,,lnk,Summary Reporting Taxonomies,Summary Reporting Taxonomy Schema Reference Href Attribute,,String,,,0..1,Value of the href attribute of schemaRef in the target reporting taxonomy.,集約報告タクソノミスキーマ参照情報,報告タクソノミ内の、schemaRef要素のhref属性の値。,LN02-02
532,2,Attribute,,lnk,Summary Reporting Taxonomies,Summary Reporting Taxonomy Header,,String,,,0..1,An all-purpose data field where all the information necessary when it is too complex to be defined otherwise.,集約報告タクソノミヘッダ,必要なすべての情報が、複雑すぎて他の方法では定義できないときに、それらを記述する汎用的なデータ域。,LN02-03
533,2,Attribute,,lnk,Summary Reporting Taxonomies,Summary Reporting Taxonomy Description,,String,,,0..1,A description of the taxonomy for human use.,集約報告タクソノミ説明,人が利用するための、タクソノミの説明文。,LN02-04
534,1,Class,,lnk,Summary Context Entity Segment,,,,,,0..1,This class allows to explicitly indicate the information related to the segment in the context for a fact in the FR instance.,【集約エンティティセグメント】,集約のエンティティセグメントの記述の指定場所。,LN03
535,2,Composition,,lnk,Summary Context Entity Segment,,,,lnk,Summary Context Entity Segment Explicit Dimension,0..*,This class allows to explicitly indicate the information related to an explicit dimension in the segment of the context for a fact in the FR instance.,【集約セグメントエクスプリシットディメンション】,集約セグメントのエクスプリシットディメンションの記述の指定場所。,LN03-01
536,2,Composition,,lnk,Summary Context Entity Segment,,,,lnk,Summary Context Entity Segment Typed Dimension,0..*,This class allows to explicitly indicate the information related to a typed dimension in the segment of the context for a fact in the FR instance.,【集約セグメントタイプトディメンション】,集約セグメントのタイプトディメンションの記述の指定場所。,LN03-02
537,2,Composition,,lnk,Summary Context Entity Segment,,,,lnk,Summary Context Entity Segment Simple Element Content,0..*,This class allows to explicitly indicate the information related to a simple element in the segment of  the context for a fact in the FR instance.,【集約セグメントシンプルエレメントコンテント】,セグメントの単一要素を表現するためのタプル。,LN03-03
538,2,Attribute,,lnk,Summary Context Entity Segment,Summary Context Segment Non Dimensional Contents,,String,,,0..*,The value must be CDATA and a valid XML fragment.,集約セグメント非ディメンションコンテント,CDATAであり、妥当なXML記述でなければならない。,LN03-04
539,1,Class,,lnk,Summary Context Entity Segment Explicit Dimension,,,,,,0..*,This class allows to explicitly indicate the information related to an explicit dimension in the segment of the context for a fact in the FR instance.,【集約セグメントエクスプリシットディメンション】,集約セグメントのエクスプリシットディメンションの記述の指定場所。,LN04
540,2,Attribute,,lnk,Summary Context Entity Segment Explicit Dimension,Summary Context Entity Segment Explicit Dimension Element,,QName,,,1..1,The QName value must be resolved to a valid explicit dimension item used in segment.,集約セグメントエクスプリシットディメンション,セグメントで利用されるQNameの値は妥当なエクプリシットディメンション項目を示さなければならない。,LN04-01
541,1,Class,,lnk,Summary Context Entity Segment Typed Dimension,,,,,,0..*,This class allows to explicitly indicate the information related to a typed dimension in the segment of the context for a fact in the FR instance.,【集約セグメントタイプトディメンション】,集約セグメントのタイプトディメンションの記述の指定場所。,LN05
542,2,Attribute,,lnk,Summary Context Entity Segment Typed Dimension,Summary Context Entity Segment Typed Dimension Element,,QName,,,1..1,The QName value must be resolved to a valid typed dimension item used in segment.,集約セグメントタイプトディメンション,セグメントで利用されるQNameの値は妥当なタイプトディメンション項目を示さなければならない。,LN05-01
543,1,Class,,lnk,Summary Context Entity Segment Simple Element Content,,,,,,0..*,This class allows to explicitly indicate the information related to a simple element in the segment of  the context for a fact in the FR instance.,【集約セグメントシンプルエレメントコンテント】,セグメントの単一要素を表現するためのタプル。,LN06
544,2,Attribute,,lnk,Summary Context Entity Segment Simple Element Content,Summary Context Entity Segment Simple Element,,QName,,,1..1,"QName for the segment simple element, if appropriate.",集約セグメントシンプルエレメント名,集約セグメントシンプルエレメントの記述のQName,LN06-01
545,2,Attribute,,lnk,Summary Context Entity Segment Simple Element Content,Summary Context Entity Segment Simple Element Value,,String,,,1..1,The value of the segment simple element content.,集約セグメントシンプルエレメント値,集約セグメントシンプルエレメントの値。,LN06-02
546,1,Class,,lnk,Summary Context Scenario Explicit Dimension,,,,,,0..*,This class allows to explicitly indicate the information related to an explicit dimension in the scenario of the context for a fact in the FR instance.,【集約シナリオエクスプリシットディメンション】,集約シナリオのエクスプリシットディメンションの記述の指定場所。,LN07
