sequence,module,level,type,identifier,name,datatype,multiplicity,association_role,definition,label_local,definition_local,source_bsm_id,semantic_path,associated_module,class_term,local_name,xpath
150,cor,3,A,,Entry ID,String,0..1,,Identifier within source journal,仕訳識別子,元仕訳帳中の識別子。,CO22-13,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryID,cor,Entry_ Header,entryId,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryId
151,cor,3,A,,Entry Description,String,0..1,,Description of entry described by this entry header (e.g. Opening Balance),仕訳説明,このエントリヘッダーによって説明された仕訳の説明(例えば、期首残高),CO22-14,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDescription,cor,Entry_ Header,entryDescription,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDescription
152,cor,3,A,,Entry Qualifier,Token,0..1,,"Entry Qualifier - An enumerated field that qualifies the type of entry, specifically useful for general ledger and trial balance environments when it is important to state the values represented are summarized as of the reporting date - opening or closing balances. In accounting systems, this is often known as BBF (balance brought forward.) Permitted values are: standard, balance-brought-forward and other.",仕訳修飾子,"仕訳の修飾子。総勘定元帳や試算表で、開始残高や決算残高のように、記された値が報告日で集約されていることを明示することが重要なときに有用な、仕訳の種別を修飾するもの。会計システムにおいて、BBF（繰越残高）として知られるもの。指定可能な値は以下。標準、繰越残高、その他_x000D_
[設定値のリスト]_x000D_
(standard：標準)、(balance-brought-forward：繰越残高)、(other：その他)",CO22-15,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryQualifier,cor,Entry_ Header,entryQualifier,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryQualifier
153,cor,3,A,,Entry Qualifier Description,String,0..1,,Free format description of the entry qualifier,仕訳修飾子説明,仕訳の修飾子の説明。,CO22-16,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryQualifierDescription,cor,Entry_ Header,entryQualifierDescription,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryQualifierDescription
154,cor,3,A,,Batch ID for Entry Group,String,0..1,,ID for a batch for this group of entries,仕訳グループ識別子,この仕訳の集合に付ける、束の識別子。,CO22-17,$.cor_AccountingEntries.cor_EntryHeader.cor_BatchIDforEntryGroup,cor,Entry_ Header,batchIdForEntryGroup,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:batchIdForEntryGroup
155,cor,3,A,,Batch Description,String,0..1,,Description of this batch,仕訳グループ説明,この仕訳の束の説明。,CO22-18,$.cor_AccountingEntries.cor_EntryHeader.cor_BatchDescription,cor,Entry_ Header,batchDescription,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:batchDescription
156,cor,3,A,,Total Debits,Monetary,0..1,,The total of all debit amounts.,借方合計,借方金額の合計値。,CO22-19,$.cor_AccountingEntries.cor_EntryHeader.cor_TotalDebits,cor,Entry_ Header,totalDebits,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:totalDebits
157,cor,3,A,,Total Credits,Monetary,0..1,,The total of all credit amounts.,貸方合計,貸方金額の合計値。,CO22-20,$.cor_AccountingEntries.cor_EntryHeader.cor_TotalCredits,cor,Entry_ Header,totalCredits,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:totalCredits
158,cor,3,A,,Type of Difference Between Book and Tax,Token,0..1,,"Enumerated field with possible values of permanent, temporary or none indicating the type of difference between book and tax accounting methods. Omission of this field is equivalent to ""none""",帳簿価税務簿価差異種別,"帳簿と税務会計処理方法との差異の種別を示す値。永久か一時的かまたは無し。値の省略時は「無し」と同じ。_x000D_
[設定値のリスト]_x000D_
(permanent：永久)、(temporary：一時的)、(none：無し)",CO22-21,$.cor_AccountingEntries.cor_EntryHeader.cor_TypeofDifferenceBetweenBookandTax,cor,Entry_ Header,typeOfDifferenceBetweenBookAndTax,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:typeOfDifferenceBetweenBookAndTax
159,cor,3,A,,Elimination Code,String,0..1,,Informs destination ledger this is an intracompany entry which eliminates in consolidation,相殺消去コード,連結決算時に消去される連結会社間仕訳であることを、受取側の元帳に通知する。,CO22-22,$.cor_AccountingEntries.cor_EntryHeader.cor_EliminationCode,cor,Entry_ Header,eliminationCode,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:eliminationCode
